gr,nome_beneficiario,Faltas,Presenças,04/08,06/08,11/08,13/08,18/08,20/08,25/08,27/08
2,Maria Lima,0,8,P,P,P,P,P,P,P,P
3,Betinha Miranda,0,0,,,,,,,,
4,Felipe Alves,0,0,,,,,,,,
5,Laura Oliveira,0,0,,,,,,,,
6,Pedro Ferreira,0,0,,,,,,,,
7,Ana Santos,0,0,,,,,,,,
8,Lucas Mendes,0,0,,,,,,,,
9,Julia Costa,0,0,,,,,,,,
10,Gabriel Rocha,0,0,,,,,,,,
11,Isabela Batista,0,0,,,,,,,,
12,Thiago Nogueira,0,0,,,,,,,,
13,Beatriz Martins,0,0,,,,,,,,
14,Rafael Silva,0,0,,,,,,,,
15,Camila Gomes,0,0,,,,,,,,
16,Otávio Araújo,0,0,,,,,,,,
17,Helena Ribeiro,0,0,,,,,,,,
18,Henrique Teixeira,0,0,,,,,,,,
19,Sophia Cardoso,0,0,,,,,,,,
20,Diego Barbosa,0,0,,,,,,,,
21,Mariana Almeida,0,0,,,,,,,,
26,Teste,0,0,,,,,,,,
